r2,rmse,mae,hit_rate,ic,rank_ic,trade_date,count
-7325.465585898976,0.860126358794864,0.6437522973168353,0.4789356984478936,-0.0727429954361259,-0.21901693385397242,2025-08-14,451
-3593.9401224995827,0.843109515458476,0.6238943870035825,0.5244444444444445,0.13895081104744794,0.11219709726961616,2025-08-15,450
-4584.331372367378,0.8517224824025387,0.6254724831124688,0.546875,0.20674235335937674,0.14644092977469905,2025-08-18,448
-3682.1355687734263,0.8609484785276174,0.6426011446218522,0.5535714285714286,0.09002008953348725,0.05370061733008474,2025-08-19,448
-5459.440547005094,0.8716543526931365,0.6240488112268727,0.449438202247191,-0.04864209818216244,-0.08064449797709232,2025-08-20,445
-4470.840809145157,0.868197347573503,0.6247790573911234,0.4797297297297297,-0.010811215482570986,-0.04504321705731906,2025-08-21,444
-5660.896432242382,0.8570163559131686,0.6204775900906256,0.49213483146067416,0.03661886399747978,-0.06828889654505617,2025-08-22,445
-4604.0527497752855,0.8760638433669606,0.5516260221955234,0.5237020316027088,-0.009611328643190909,0.026819568513898624,2025-08-25,443
-6431.34954542466,0.8771675164366547,0.6606958989132039,0.5239179954441914,0.06247661391119749,0.0029773032222559477,2025-08-26,439
-4166.372728388019,0.8340600443167703,0.6103366276422416,0.4360730593607306,-0.007617603977358995,-0.0999979363833397,2025-08-27,438
-4413.833813486518,0.856226571982515,0.6256714084432361,0.5079726651480638,0.039834033149795334,-0.08524567609505357,2025-08-28,439
-6374.09588417683,0.8677906449090553,0.6231987560224058,0.4931506849315068,-0.030120246289415745,-0.061692355599852304,2025-08-29,438
-3970.6805254703277,0.9286422164622141,0.7071293170136266,0.5844748858447488,0.03062545943850696,0.13178263133117052,2025-09-01,438
-2838.7329495223603,0.8492273609931896,0.6403577376264645,0.4520547945205479,-0.07678349801026835,-0.12313714860589126,2025-09-02,438
-3683.9092292259947,0.6169325727364443,0.4740249091765028,0.5057471264367817,-0.06941158286691121,-0.0332845436242687,2025-09-03,435
-1621.4514436938668,0.714141018480382,0.5379284030131527,0.43548387096774194,-0.17155658330097653,-0.2260116724877416,2025-09-04,434
-4366.096162350373,0.8835441143829994,0.5795165410639649,0.4400921658986175,-0.2945603258040933,-0.35321705373726214,2025-09-05,434
-3018.9254562764413,0.8734921286198458,0.6644680265786193,0.43448275862068964,-0.12063038258603029,-0.17332247713711316,2025-09-08,435
-6120.863145076206,0.903107951737004,0.659344451939476,0.44930875576036866,-0.029264560487997825,0.028856359700227784,2025-09-09,434
-6585.71313314531,0.8711682006182164,0.653849918587994,0.48847926267281105,0.12096769060052959,0.18304109298465357,2025-09-10,434
-4269.05223046979,0.9905989181435934,0.6089773231112534,0.3922018348623853,-0.3100086173494241,-0.40184963047206484,2025-09-11,436
-3195.244363156307,0.775658889823598,0.5852800926960147,0.5150115473441108,0.07322478349311806,0.0717887977163102,2025-09-12,433
-4300.992419381066,0.9219585551350221,0.7140317129090555,0.5069444444444444,0.01916338778924343,-0.055647690203720276,2025-09-15,432
-2519.8040270758243,0.6865778076566473,0.5141279520338607,0.580046403712297,0.04849992398076188,0.16756191658123348,2025-09-16,431
-5155.116926185386,0.8905779466357968,0.6714070931733783,0.5058275058275058,-0.03127473104505326,-0.03505303650924168,2025-09-17,429
-3828.6324047540884,0.8240737402321495,0.6015762578123155,0.46261682242990654,-0.12055175063844907,-0.23482278407971685,2025-09-18,428
-5067.462187158754,0.8332052358584338,0.605983555611136,0.49882903981264637,0.018347273598377466,-0.03647917842584848,2025-09-19,427
-5637.1957840546675,0.957602124746547,0.744140931424027,0.5516431924882629,0.13426167591430338,0.14438608507360462,2025-09-22,426
-5221.5590831232485,0.9049888873592157,0.7007360760075816,0.48470588235294115,-0.009605768090679812,-0.0069790999046442925,2025-09-23,425
-3758.927823187247,0.8711990628397553,0.6434179970963059,0.541371158392435,0.1656450043324443,0.1837333198884071,2025-09-24,423
-5613.4145930797995,0.8969313269747082,0.5864500604030696,0.46318289786223277,-0.02168061573683903,-0.08643089526339742,2025-09-25,421
-6967.605542676353,0.8681247696402807,0.6436442972827071,0.46539379474940334,0.002483687015796198,0.023818550498615816,2025-09-26,419
-4343.388162214034,0.8871582600680233,0.67003387973397,0.5083932853717026,0.1785706855459959,0.1275515472789233,2025-09-29,417
-6877.719314950349,0.8752652204061946,0.6299604155701846,0.5251798561151079,0.07675715648291784,0.08895993253244296,2025-09-30,417
-6174.023320760687,0.8931426257646782,0.632627211797495,0.4819277108433735,-0.06061131233692725,-0.06503841452767592,2025-10-09,415
-7670.2169037076565,1.0203962204754728,0.6263404970473325,0.45012165450121655,-0.01915642320387751,-0.09892680161299522,2025-10-10,411
-9453.536953390982,0.9281303467058547,0.6433444269620576,0.5461165048543689,0.04438328366283571,0.1243236991799539,2025-10-13,412
-1515.3572273729776,0.6787576462322239,0.42290133816538283,0.35194174757281554,-0.20580214062499058,-0.343462752857275,2025-10-14,412
-2502.892892582717,0.5633178199023635,0.3599631046377344,0.45121951219512196,-0.16735136610259296,-0.20181896295432178,2025-10-15,410
-1959.14292121737,0.5362113378099282,0.3780560529677362,0.4938875305623472,0.1105360152137264,0.1571081793084578,2025-10-16,409
-2756.232790236346,0.5728502957788414,0.3616223713304728,0.5916870415647921,0.182677345716308,0.3553880935760314,2025-10-17,409
-1849.7735543194276,0.49975468310141735,0.36522298484645155,0.5245098039215687,0.04992810466844216,0.14749523918228075,2025-10-20,408
-2108.192340651499,0.4989980309212097,0.35945944858784856,0.4534313725490196,-0.16833479685011635,-0.20531607271144164,2025-10-21,408
-3637.3920328479894,0.5093790182461815,0.3473179918747323,0.5147058823529411,0.08266504130209701,0.1404920931024771,2025-10-22,408
-4055.467152575395,0.6050091466474709,0.378922637484954,0.4226044226044226,-0.12721681286398132,-0.17969722837876997,2025-10-23,407
-1630.0168355940905,0.5842381900145921,0.3692369108750952,0.43734643734643736,-0.10385213938290058,-0.07123829791172591,2025-10-24,407
-2315.793974887032,0.5663013858950263,0.35756736083808166,0.5308641975308642,0.053938151175867984,0.08299471983323128,2025-10-27,405
-3335.341238345495,0.5086637974030351,0.3404877120461563,0.5123762376237624,0.05371644240160722,0.14705149588573416,2025-10-28,404
-2839.340980838614,0.5458497995579543,0.42127539214919624,0.5173267326732673,0.08031423140340736,0.04589233116860073,2025-10-29,404
-1756.3628445588345,0.5220271637073196,0.40522730021204345,0.5037406483790524,0.0533108254002283,0.03424554285926974,2025-10-30,401
-5636.47409781915,0.805463356953243,0.6069081752495583,0.4763092269326683,0.019901386989338105,-0.02051903822533219,2025-10-31,401
-6501.813178498334,0.6691649474529987,0.47793132713713643,0.5261845386533666,0.09671121908744752,0.09054974504038414,2025-11-03,401
-11110.714199483604,0.9930464977999115,0.6358245438674248,0.385,-0.193120251423011,-0.3402715016968855,2025-11-04,400
-2342.3314292531486,0.6117888238549044,0.3980510347295196,0.4339152119700748,-0.10895851257918378,-0.2096233297353631,2025-11-05,401
